River,Month,Day,Arsenic ug/L,Lead ppb,Fertilizer mg/L,Pesticide mg/L
Leon River,5,16,51,39,0,0
Leon River,5,17,52,33,0,0
Leon River,5,18,36,24,0,0
Leon River,5,19,42,23,0,0
Leon River,5,20,70,23,0,0
Leon River,5,22,53,9,0,0
Leon River,5,24,61,31,0,0
Leon River,5,27,55,31,0,0
Leon River,5,29,99,28,0,0
Leon River,5,30,74,20,0,0
Leon River,6,1,35,43,0,0
Leon River,6,2,76,21,0,0
Leon River,6,5,109,42,0,0
Leon River,6,6,45,29,0,0
Leon River,6,7,85,36,0,0
Leon River,6,8,47,23,0,0
Leon River,6,9,72,46,0,0
Leon River,6,10,82,28,0,0
Leon River,6,11,65,31,0,0
Leon River,6,12,75,17,0,0
Leon River,6,13,61,47,0,0
Leon River,6,14,28,31,0,0
Leon River,6,15,39,31,0,0
Leon River,6,16,55,17,0,0
Leon River,6,17,80,30,0,0
Leon River,6,19,60,20,0,0
Leon River,6,22,99,33,0,0
Leon River,6,25,53,15,0,0
Leon River,6,26,64,21,0,0
Leon River,6,28,78,48,0,0
Leon River,6,30,38,16,0,0
Leon River,7,1,62,18,0,0
Leon River,7,2,59,21,0,0
Leon River,7,4,46,31,0,0
Leon River,7,7,73,24,0,0
Leon River,7,8,82,24,0,0
Leon River,7,9,60,37,0,0
Leon River,7,10,93,26,0,0
Leon River,7,12,71,45,0,0
Leon River,7,14,61,12,0,0
Leon River,7,16,72,33,0,0
Leon River,7,17,53,37,0,0
Leon River,7,19,84,37,0,0
Leon River,7,21,53,23,0,0
Leon River,7,22,66,40,0,0
Leon River,7,24,38,22,0,0
Leon River,7,25,49,28,0,0
Leon River,7,26,71,36,0,0
Leon River,7,27,56,32,0,0
Leon River,7,28,69,46,0,0
Leon River,7,29,57,29,0,0
Leon River,7,30,43,29,0,0
Leon River,8,1,58,23,0,0
Leon River,8,2,70,33,0,0
Leon River,8,6,44,38,0,0
Leon River,8,8,91,8,0,0
Leon River,8,9,103,17,0,0
Leon River,8,10,62,25,0,0
Leon River,8,13,54,39,0,0
Leon River,8,14,75,33,0,0
Leon River,8,15,29,31,0,0
Leon River,8,18,0,45,0,0
Leon River,8,19,57,43,0,0
Leon River,8,20,48,24,0,0
Leon River,8,21,58,13,0,0
Leon River,8,23,52,21,0,0
Leon River,8,25,68,32,0,0
Leon River,8,26,87,41,0,0
Leon River,8,28,48,37,0,0
Leon River,8,29,89,30,0,0
Leon River,8,30,68,16,0,0
Leon River,8,31,52,35,0,0
Leon River,9,1,102,33,0,0
Leon River,9,2,38,41,0,0
Leon River,9,3,68,28,0,0
Leon River,9,4,69,19,0,0
Leon River,9,5,32,20,0,0
Leon River,9,8,69,47,0,0
Leon River,9,9,77,26,0,0
Leon River,9,10,50,25,0,0
Leon River,9,11,93,27,0,0
Leon River,9,12,85,34,0,0
Leon River,9,13,89,37,0,0
Leon River,9,14,77,42,0,0
Leon River,9,15,40,34,0,0
Leon River,9,16,62,25,0,0
Leon River,9,17,55,12,0,0
Leon River,9,18,34,30,0,0
Leon River,9,19,80,38,0,0
Leon River,9,20,47,27,0,0
Leon River,9,22,60,41,0,0
Leon River,9,23,16,30,0,0
Leon River,9,24,37,11,0,0
Leon River,9,25,86,15,0,0
Leon River,9,27,95,19,0,0
Leon River,9,28,85,35,0,0
Leon River,9,29,85,30,0,0
Leon River,9,30,40,23,0,0
Leon River,10,1,56,29,0,0
Leon River,10,2,32,26,0,0
Leon River,10,3,61,51,0,0
Leon River,10,4,45,21,0,0
Leon River,10,5,41,24,0,0
Leon River,10,6,47,43,0,0
Leon River,10,7,40,35,0,0
Leon River,10,8,47,25,0,0
Leon River,10,13,69,40,0,0
Leon River,10,15,111,18,0,0
Leon River,10,16,83,24,0,0
Leon River,10,17,50,29,0,0
Leon River,10,18,59,20,0,0
Leon River,10,19,72,38,0,0
Leon River,10,20,63,42,0,0
Leon River,10,21,62,32,0,0
Leon River,10,22,19,37,0,0
Leon River,10,23,58,39,0,0
Leon River,10,24,77,38,0,0
Leon River,10,25,87,28,0,0
Leon River,10,26,111,25,0,0
Leon River,10,27,46,15,0,0
Leon River,10,31,69,27,0,0
Leon River,11,1,65,32,0,0
Leon River,11,2,59,19,0,0
Leon River,11,4,88,30,0,0
Leon River,11,5,63,26,0,0
Leon River,11,6,82,34,0,0
Leon River,11,7,52,32,0,0
Leon River,11,8,77,44,0,0
Leon River,11,10,52,50,0,0
Leon River,11,11,92,17,0,0
Leon River,11,12,90,40,0,0
Leon River,11,13,37,50,0,0
Leon River,11,14,59,39,0,0
Leon River,11,16,72,25,0,0
Leon River,11,17,59,40,0,0
Leon River,11,18,122,30,0,0
Leon River,11,19,48,53,0,0
Leon River,11,20,55,27,0,0
Leon River,11,22,94,26,0,0
Leon River,11,23,33,24,0,0
Leon River,11,25,53,18,0,0
Leon River,11,27,82,24,0,0
Leon River,11,28,62,30,0,0
Leon River,11,29,32,30,0,0
Leon River,11,30,64,55,0,0
Leon River,12,1,88,4,0,0
Leon River,12,2,97,43,0,0
Leon River,12,4,79,34,0,0
Leon River,12,5,84,28,0,0
Leon River,12,6,38,22,0,0
Leon River,12,7,57,18,0,0
Leon River,12,8,34,28,0,0
Leon River,12,10,91,28,0,0
Leon River,12,14,66,36,0,0
Leon River,12,15,71,41,0,0
Leon River,12,16,47,27,0,0
Leon River,12,17,61,39,0,0
Leon River,12,18,55,29,0,0
Leon River,12,19,63,23,0,0
Leon River,12,21,55,23,0,0
Leon River,12,22,78,15,0,0
Leon River,12,25,51,31,0,0
Leon River,12,26,59,16,0,0
Leon River,12,27,52,11,0,0
Leon River,12,28,79,29,0,0
Leon River,12,30,67,21,0,0
